-3.35 	 0.206902 	 -0.061762 
-3.30 	 0.157746 	 -0.047802 
-3.25 	 0.108195 	 -0.033291 
-3.20 	 0.058374 	 -0.018242 
-3.15 	 0.008407 	 -0.002669 
-3.10 	 -0.041581 	 0.013413 
-3.05 	 -0.091465 	 0.029988 
-3.00 	 -0.141120 	 0.047040 
-2.95 	 -0.190423 	 0.064550 
-2.90 	 -0.239249 	 0.082500 
-2.85 	 -0.287478 	 0.100869 
-2.80 	 -0.334988 	 0.119639 
-2.75 	 -0.381661 	 0.138786 
-2.70 	 -0.427380 	 0.158289 
-2.65 	 -0.472031 	 0.178125 
-2.60 	 -0.515501 	 0.198270 
-2.55 	 -0.557684 	 0.218699 
-2.50 	 -0.598472 	 0.239389 
-2.45 	 -0.637765 	 0.260312 
-2.40 	 -0.675463 	 0.281443 
-2.35 	 -0.711473 	 0.302755 
-2.30 	 -0.745705 	 0.324220 
-2.25 	 -0.778073 	 0.345810 
-2.20 	 -0.808496 	 0.367498 
-2.15 	 -0.836899 	 0.389255 
-2.10 	 -0.863209 	 0.411052 
-2.05 	 -0.887362 	 0.432860 
-2.00 	 -0.909297 	 0.454649 
-1.95 	 -0.928960 	 0.476390 
-1.90 	 -0.946300 	 0.498053 
-1.85 	 -0.961275 	 0.519608 
-1.80 	 -0.973848 	 0.541026 
-1.75 	 -0.983986 	 0.562278 
-1.70 	 -0.991665 	 0.583332 
-1.65 	 -0.996865 	 0.604161 
-1.60 	 -0.999574 	 0.624734 
-1.55 	 -0.999784 	 0.645022 
-1.50 	 -0.997495 	 0.664997 
-1.45 	 -0.992713 	 0.684630 
-1.40 	 -0.985450 	 0.703893 
-1.35 	 -0.975723 	 0.722758 
-1.30 	 -0.963558 	 0.741199 
-1.25 	 -0.948985 	 0.759188 
-1.20 	 -0.932039 	 0.776699 
-1.15 	 -0.912764 	 0.793708 
-1.10 	 -0.891207 	 0.810189 
-1.05 	 -0.867423 	 0.826117 
-1.00 	 -0.841471 	 0.841471 
-0.95 	 -0.813416 	 0.856227 
-0.90 	 -0.783327 	 0.870363 
-0.85 	 -0.751280 	 0.883859 
-0.80 	 -0.717356 	 0.896695 
-0.75 	 -0.681639 	 0.908852 
-0.70 	 -0.644218 	 0.920311 
-0.65 	 -0.605186 	 0.931056 
-0.60 	 -0.564642 	 0.941071 
-0.55 	 -0.522687 	 0.950340 
-0.50 	 -0.479426 	 0.958851 
-0.45 	 -0.434966 	 0.966590 
-0.40 	 -0.389418 	 0.973546 
-0.35 	 -0.342898 	 0.979708 
-0.30 	 -0.295520 	 0.985067 
-0.25 	 -0.247404 	 0.989616 
-0.20 	 -0.198669 	 0.993347 
-0.15 	 -0.149438 	 0.996254 
-0.10 	 -0.099833 	 0.998334 
-0.05 	 -0.049979 	 0.999583 
0.00 	 0.000000 	 nan 
0.05 	 0.049979 	 0.999583 
0.10 	 0.099833 	 0.998334 
0.15 	 0.149438 	 0.996254 
0.20 	 0.198669 	 0.993347 
0.25 	 0.247404 	 0.989616 
0.30 	 0.295520 	 0.985067 
0.35 	 0.342898 	 0.979708 
0.40 	 0.389418 	 0.973546 
0.45 	 0.434966 	 0.966590 
0.50 	 0.479426 	 0.958851 
0.55 	 0.522687 	 0.950340 
0.60 	 0.564642 	 0.941071 
0.65 	 0.605186 	 0.931056 
0.70 	 0.644218 	 0.920311 
0.75 	 0.681639 	 0.908852 
0.80 	 0.717356 	 0.896695 
0.85 	 0.751280 	 0.883859 
0.90 	 0.783327 	 0.870363 
0.95 	 0.813416 	 0.856227 
1.00 	 0.841471 	 0.841471 
1.05 	 0.867423 	 0.826117 
1.10 	 0.891207 	 0.810189 
1.15 	 0.912764 	 0.793708 
1.20 	 0.932039 	 0.776699 
1.25 	 0.948985 	 0.759188 
1.30 	 0.963558 	 0.741199 
1.35 	 0.975723 	 0.722758 
1.40 	 0.985450 	 0.703893 
1.45 	 0.992713 	 0.684630 
1.50 	 0.997495 	 0.664997 
1.55 	 0.999784 	 0.645022 
1.60 	 0.999574 	 0.624734 
